REF_AREA,Zone de référence,Fréquence d'observation,Objectif socio-économique,TIME_PERIOD,Valeur (monnaie nationale),CURRENCY,Monnaie,Valeur (USD PPA courant),Valeur (USD PPA constant),BASE_PER,DECIMALS,Multiplicateur d'unité,Statut d'observation,Statut d'observation 2,Statut d'observation 3,Statut d'observation auxilliaire,GDP (USD PPA courant),Observation GPD,population
AUS,Australie,Annuelle,Agriculture,2015,611.4917213,AUD,Dollar australien,414.829775,490.2525406,,3,Millions,Définition différente,,,,1129436.66608172,Valeur normale,23815995.0
AUS,Australie,Annuelle,Agriculture,2016,612.2178328,AUD,Dollar australien,422.1737523,473.5355602,,3,Millions,Définition différente,,,,1216898.6681997702,Valeur normale,24190907.0
AUS,Australie,Annuelle,Agriculture,2017,663.1083564,AUD,Dollar australien,448.7882035,503.487876,,3,Millions,Définition différente,,,,1251345.29861196,Valeur normale,24592588.0
AUS,Australie,Annuelle,Agriculture,2018,722.9425278,AUD,Dollar australien,491.6628601,530.5195405,,3,Millions,Définition différente,,,,1329693.31891296,Valeur normale,24963258.0
AUS,Australie,Annuelle,Agriculture,2019,739.0901285,AUD,Dollar australien,506.4852593,532.3320655,,3,Millions,Définition différente,,,,1363030.27301868,Valeur normale,25334826.0
AUS,Australie,Annuelle,Agriculture,2020,689.5936857,AUD,Dollar australien,481.8416118,481.8416118,,3,Millions,Définition différente,,,,1461066.00664252,Valeur normale,25649248.0
AUS,Australie,Annuelle,Agriculture,2021,737.804967,AUD,Dollar australien,528.6180573,481.0131472,,3,Millions,Définition différente,,,,1674329.46449161,Valeur normale,25685412.0
AUS,Australie,Annuelle,Agriculture,2022,788.053,AUD,Dollar australien,579.497329,482.3610852,,3,Millions,Définition différente,,,,1896638.09213884,Valeur normale,26014399.0
AUS,Australie,Annuelle,Agriculture,2023,787.3169567,AUD,Dollar australien,576.3038015,469.5769068,,3,Millions,Définition différente,Valeur provisoire,,,2003805.61455368,Valeur normale,26652777.0
AUS,Australie,Annuelle,Agriculture,2024,795.488,AUD,Dollar australien,576.4668227,462.1266039,,3,Millions,Définition différente,Valeur provisoire,,,2033546.42467499,Valeur normale,27204809.0
AUS,Australie,Annuelle,"Culture, activités de loisirs, religion et médias",2015,33.97446674,AUD,Dollar australien,23.04793328,27.2384205,,3,Millions,Définition différente,,,,1129436.66608172,Valeur normale,23815995.0
AUS,Australie,Annuelle,"Culture, activités de loisirs, religion et médias",2016,39.06628243,AUD,Dollar australien,26.93936399,30.21681654,,3,Millions,Définition différente,,,,1216898.6681997702,Valeur normale,24190907.0
AUS,Australie,Annuelle,"Culture, activités de loisirs, religion et médias",2017,35.33944573,AUD,Dollar australien,23.91754863,26.83269227,,3,Millions,Définition différente,,,,1251345.29861196,Valeur normale,24592588.0
AUS,Australie,Annuelle,"Culture, activités de loisirs, religion et médias",2018,33.72505169,AUD,Dollar australien,22.93592469,24.74857715,,3,Millions,Définition différente,,,,1329693.31891296,Valeur normale,24963258.0
